SR.NO.,dep_id,DEPARTMENT_NAME,MANAGER_ID,LOCATION_ID
1,10,Administration,200,1700
2,20,Marketing,201,1800
3,30,Purchasing,114,1700
4,40,Human Resources,203,2400
5,50,Shipping,121,1500
6,60,IT,103,1400
7,70,Public Relations,204,2700
8,80,Sales,145,2500
9,90,Executive,100,1700
10,100,Finance,108,1700
11,110,Accounting,205,1700
12,120,Treasury,,1700
13,130,Corporate Tax,,1700
14,140,Control And Credit,,1700
15,150,Shareholder Services,,1700
16,160,Benefits,,1700
17,170,Manufacturing,,1700
18,180,Construction,,1700
19,190,Contracting,,1700
20,200,Operations,,1700
21,210,IT Support,,1700
22,220,NOC,,1700
23,230,IT Helpdesk,,1700
24,240,Government Sales,,1700
25,250,Retail Sales,,1700
26,260,Recruiting,,1700
27,270,Payroll,,1700
